1,Holtsville,New York,NY
2,Moody,Alabama,AL
3,Adamsville,Alabama,AL
4,Adger,Alabama,AL
5,Alabaster,Alabama,AL
6,Alexander City,Alabama,AL
7,Allgood,Alabama,AL
8,Alpine,Alabama,AL
9,Alton,Alabama,AL
10,Arab,Alabama,AL
11,Baileyton,Alabama,AL
12,Bessemer,Alabama,AL
13,Blountsville,Alabama,AL
14,Bon Air,Alabama,AL
15,Bremen,Alabama,AL
16,Brent,Alabama,AL
17,Brierfield,Alabama,AL
18,Brookside,Alabama,AL
19,Burnwell,Alabama,AL
20,Calera,Alabama,AL
21,Cardiff,Alabama,AL
22,Centreville,Alabama,AL
23,Chelsea,Alabama,AL
24,Childersburg,Alabama,AL
25,Clanton,Alabama,AL
26,Clay,Alabama,AL
27,Cleveland,Alabama,AL
28,Columbiana,Alabama,AL
29,Cook Springs,Alabama,AL
30,Crane Hill,Alabama,AL
31,Cropwell,Alabama,AL
32,Cullman,Alabama,AL
33,Docena,Alabama,AL
34,Dolomite,Alabama,AL
35,Dora,Alabama,AL
36,Empire,Alabama,AL
37,Fairfield,Alabama,AL
38,Fultondale,Alabama,AL
39,Garden City,Alabama,AL
40,Gardendale,Alabama,AL
41,Goodwater,Alabama,AL
42,Graysville,Alabama,AL
43,Green Pond,Alabama,AL
44,Hanceville,Alabama,AL
45,Harpersville,Alabama,AL
46,Hayden,Alabama,AL
47,Helena,Alabama,AL
48,Hollins,Alabama,AL
49,Holly Pond,Alabama,AL
50,Jemison,Alabama,AL
51,Joppa,Alabama,AL
52,Kellyton,Alabama,AL
53,Kimberly,Alabama,AL
54,Leeds,Alabama,AL
55,Lincoln,Alabama,AL
56,Locust Fork,Alabama,AL
57,Logan,Alabama,AL
58,Mc Calla,Alabama,AL
59,Margaret,Alabama,AL
60,Maylene,Alabama,AL
61,Montevallo,Alabama,AL
62,Morris,Alabama,AL
63,Mount Olive,Alabama,AL
64,Mulga,Alabama,AL
65,New Castle,Alabama,AL
66,Odenville,Alabama,AL
67,Oneonta,Alabama,AL
68,Palmerdale,Alabama,AL
69,Pelham,Alabama,AL
70,Pell City,Alabama,AL
71,Pinson,Alabama,AL
72,Pleasant Grove,Alabama,AL
73,Quinton,Alabama,AL
74,Ragland,Alabama,AL
75,Remlap,Alabama,AL
76,Riverside,Alabama,AL
77,Rockford,Alabama,AL
78,Saginaw,Alabama,AL
79,Sayre,Alabama,AL
80,Shannon,Alabama,AL
81,Shelby,Alabama,AL
82,Siluria,Alabama,AL
83,Springville,Alabama,AL
84,Sterrett,Alabama,AL
85,Sumiton,Alabama,AL
86,Sycamore,Alabama,AL
87,Sylacauga,Alabama,AL
88,Talladega,Alabama,AL
89,Thorsby,Alabama,AL
90,Trafford,Alabama,AL
91,Trussville,Alabama,AL
92,Union Grove,Alabama,AL
93,Vandiver,Alabama,AL
94,Vincent,Alabama,AL
95,Vinemont,Alabama,AL
96,Warrior,Alabama,AL
97,Watson,Alabama,AL
98,Wattsville,Alabama,AL
99,Weogufka,Alabama,AL
100,West Blocton,Alabama,AL
101,Westover,Alabama,AL
102,Wilsonville,Alabama,AL
103,Wilton,Alabama,AL
104,Woodstock,Alabama,AL
105,Birmingham,Alabama,AL
106,Tuscaloosa,Alabama,AL
107,Abernant,Alabama,AL
108,Akron,Alabama,AL
109,Aliceville,Alabama,AL
110,Boligee,Alabama,AL
111,Brookwood,Alabama,AL
112,Buhl,Alabama,AL
113,Carrollton,Alabama,AL
114,Clinton,Alabama,AL
115,Coaling,Alabama,AL
116,Coker,Alabama,AL
117,Cottondale,Alabama,AL
118,Duncanville,Alabama,AL
119,Echola,Alabama,AL
120,Elrod,Alabama,AL
121,Emelle,Alabama,AL
122,Epes,Alabama,AL
123,Ethelsville,Alabama,AL
124,Eutaw,Alabama,AL
125,Fosters,Alabama,AL
126,Gainesville,Alabama,AL
127,Gordo,Alabama,AL
128,Kellerman,Alabama,AL
129,Knoxville,Alabama,AL
130,Livingston,Alabama,AL
131,Mc Shan,Alabama,AL
132,Northport,Alabama,AL
133,Moundville,Alabama,AL
134,Panola,Alabama,AL
135,Peterson,Alabama,AL
136,Ralph,Alabama,AL
137,Reform,Alabama,AL
138,Samantha,Alabama,AL
139,Vance,Alabama,AL
140,West Greene,Alabama,AL
141,Jasper,Alabama,AL
142,Addison,Alabama,AL
143,Arley,Alabama,AL
144,Bankston,Alabama,AL
145,Bear Creek,Alabama,AL
146,Beaverton,Alabama,AL
147,Belk,Alabama,AL
148,Berry,Alabama,AL
149,Brilliant,Alabama,AL
150,Carbon Hill,Alabama,AL
151,Cordova,Alabama,AL
152,Delmar,Alabama,AL
153,Detroit,Alabama,AL
154,Double Springs,Alabama,AL
155,Eldridge,Alabama,AL
156,Fayette,Alabama,AL
157,Glen Allen,Alabama,AL
158,Goodsprings,Alabama,AL
159,Guin,Alabama,AL
160,Hackleburg,Alabama,AL
161,Haleyville,Alabama,AL
162,Hamilton,Alabama,AL
163,Hodges,Alabama,AL
164,Houston,Alabama,AL
165,Kansas,Alabama,AL
166,Kennedy,Alabama,AL
167,Lynn,Alabama,AL
168,Millport,Alabama,AL
169,Natural Bridge,Alabama,AL
170,Nauvoo,Alabama,AL
171,Oakman,Alabama,AL
172,Parrish,Alabama,AL
173,Phil Campbell,Alabama,AL
174,Red Bay,Alabama,AL
175,Sipsey,Alabama,AL
176,Spruce Pine,Alabama,AL
177,Sulligent,Alabama,AL
178,Townley,Alabama,AL
179,Vernon,Alabama,AL
180,Vina,Alabama,AL
181,Winfield,Alabama,AL
182,Decatur,Alabama,AL
183,Anderson,Alabama,AL
184,Athens,Alabama,AL
185,Belle Mina,Alabama,AL
186,Cherokee,Alabama,AL
187,Cloverdale,Alabama,AL
188,Courtland,Alabama,AL
189,Danville,Alabama,AL
190,Elkmont,Alabama,AL
191,Eva,Alabama,AL
192,Falkville,Alabama,AL
193,Florence,Alabama,AL
194,Hartselle,Alabama,AL
195,Hillsboro,Alabama,AL
196,Killen,Alabama,AL
197,Leighton,Alabama,AL
198,Lester,Alabama,AL
199,Lexington,Alabama,AL
200,Mooresville,Alabama,AL
201,Moulton,Alabama,AL
202,Mount Hope,Alabama,AL
203,Rogersville,Alabama,AL
204,Russellville,Alabama,AL
205,Sheffield,Alabama,AL
206,Muscle Shoals,Alabama,AL
207,Somerville,Alabama,AL
208,Tanner,Alabama,AL
209,Town Creek,Alabama,AL
210,Trinity,Alabama,AL
211,Tuscumbia,Alabama,AL
212,Waterloo,Alabama,AL
213,Ardmore,Alabama,AL
214,Bridgeport,Alabama,AL
215,Brownsboro,Alabama,AL
216,Capshaw,Alabama,AL
217,Dutton,Alabama,AL
218,Estillfork,Alabama,AL
219,Fackler,Alabama,AL
220,Grant,Alabama,AL
221,Gurley,Alabama,AL
222,Harvest,Alabama,AL
223,Hazel Green,Alabama,AL
224,Hollytree,Alabama,AL
225,Hollywood,Alabama,AL
226,Laceys Spring,Alabama,AL
227,Langston,Alabama,AL
228,Madison,Alabama,AL
229,Meridianville,Alabama,AL
230,New Hope,Alabama,AL
231,New Market,Alabama,AL
232,Normal,Alabama,AL
233,Owens Cross Roads,Alabama,AL
234,Paint Rock,Alabama,AL
235,Pisgah,Alabama,AL
236,Princeton,Alabama,AL
237,Ryland,Alabama,AL
238,Scottsboro,Alabama,AL
239,Section,Alabama,AL
240,Stevenson,Alabama,AL
241,Toney,Alabama,AL
242,Trenton,Alabama,AL
243,Valhermoso Springs,Alabama,AL
244,Woodville,Alabama,AL
245,Huntsville,Alabama,AL
246,Gadsden,Alabama,AL
247,Rainbow City,Alabama,AL
248,Albertville,Alabama,AL
249,Altoona,Alabama,AL
250,Ashville,Alabama,AL
251,Attalla,Alabama,AL
252,Boaz,Alabama,AL
253,Bryant,Alabama,AL
254,Cedar Bluff,Alabama,AL
255,Centre,Alabama,AL
256,Collinsville,Alabama,AL
257,Crossville,Alabama,AL
258,Dawson,Alabama,AL
259,Douglas,Alabama,AL
260,Flat Rock,Alabama,AL
261,Fort Payne,Alabama,AL
262,Fyffe,Alabama,AL
263,Gallant,Alabama,AL
264,Gaylesville,Alabama,AL
265,Geraldine,Alabama,AL
266,Groveoak,Alabama,AL
267,Guntersville,Alabama,AL
268,Henagar,Alabama,AL
269,Higdon,Alabama,AL
270,Horton,Alabama,AL
271,Ider,Alabama,AL
272,Leesburg,Alabama,AL
273,Mentone,Alabama,AL
274,Rainsville,Alabama,AL
275,Steele,Alabama,AL
276,Sylvania,Alabama,AL
277,Valley Head,Alabama,AL
278,Walnut Grove,Alabama,AL
279,Autaugaville,Alabama,AL
280,Banks,Alabama,AL
281,Billingsley,Alabama,AL
282,Booth,Alabama,AL
283,Brantley,Alabama,AL
284,Brundidge,Alabama,AL
285,Cecil,Alabama,AL
286,Chapman,Alabama,AL
287,Clayton,Alabama,AL
288,Clio,Alabama,AL
289,Coosada,Alabama,AL
290,Deatsville,Alabama,AL
291,East Tallassee,Alabama,AL
292,Eclectic,Alabama,AL
293,Elmore,Alabama,AL
294,Equality,Alabama,AL
295,Eufaula,Alabama,AL
296,Dozier,Alabama,AL
297,Fitzpatrick,Alabama,AL
298,Forest Home,Alabama,AL
299,Fort Davis,Alabama,AL
300,Fort Deposit,Alabama,AL
301,Georgiana,Alabama,AL
302,Glenwood,Alabama,AL
303,Goshen,Alabama,AL
304,Grady,Alabama,AL
305,Greenville,Alabama,AL
306,Gantt,Alabama,AL
307,Hardaway,Alabama,AL
308,Hayneville,Alabama,AL
309,Highland Home,Alabama,AL
310,Honoraville,Alabama,AL
311,Hope Hull,Alabama,AL
312,Kent,Alabama,AL
313,Lapine,Alabama,AL
314,Letohatchee,Alabama,AL
315,Louisville,Alabama,AL
316,Luverne,Alabama,AL
317,Marbury,Alabama,AL
318,Mathews,Alabama,AL
319,Midway,Alabama,AL
320,Millbrook,Alabama,AL
321,Mount Meigs,Alabama,AL
322,Perote,Alabama,AL
323,Petrey,Alabama,AL
324,Pike Road,Alabama,AL
325,Pine Level,Alabama,AL
326,Prattville,Alabama,AL
327,Ramer,Alabama,AL
328,Rutledge,Alabama,AL
329,Shorter,Alabama,AL
330,Tallassee,Alabama,AL
331,Troy,Alabama,AL
332,Titus,Alabama,AL
333,Tuskegee,Alabama,AL
334,Tuskegee Institute,Alabama,AL
335,Union Springs,Alabama,AL
336,Verbena,Alabama,AL
337,Wetumpka,Alabama,AL
338,Montgomery,Alabama,AL
339,Anniston,Alabama,AL
340,Oxford,Alabama,AL
341,Alexandria,Alabama,AL
342,Ashland,Alabama,AL
343,Bynum,Alabama,AL
344,Choccolocco,Alabama,AL
345,Cragford,Alabama,AL
346,Daviston,Alabama,AL
347,De Armanville,Alabama,AL
348,Delta,Alabama,AL
349,Eastaboga,Alabama,AL
350,Edwardsville,Alabama,AL
351,Fruithurst,Alabama,AL
352,Graham,Alabama,AL
353,Heflin,Alabama,AL
354,Jacksonville,Alabama,AL
355,Lineville,Alabama,AL
356,Millerville,Alabama,AL
357,Munford,Alabama,AL
